study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2204233,ERZ3164298,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164298/contig.fa.gz,11658_5#2
PRJEB45963,SAMEA2204229,ERZ3164300,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164300/contig.fa.gz,11658_4#1
PRJEB45963,SAMEA2204234,ERZ3164301,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164301/contig.fa.gz,11658_6#1
PRJEB45963,SAMEA2204235,ERZ3164303,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164303/contig.fa.gz,11658_5#3
PRJEB45963,SAMEA2204232,ERZ3164304,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164304/contig.fa.gz,11658_5#1
PRJEB45963,SAMEA2204236,ERZ3164305,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164305/contig.fa.gz,11658_4#3
PRJEB45963,SAMEA2204231,ERZ3164307,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164307/contig.fa.gz,11658_4#2
PRJEB45963,SAMEA2204230,ERZ3164308,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164308/contig.fa.gz,11657_5#1
PRJEB45963,SAMEA2204238,ERZ3164309,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164309/contig.fa.gz,11657_5#2
PRJEB45963,SAMEA2204237,ERZ3164310,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164310/contig.fa.gz,11658_5#4
PRJEB45963,SAMEA2204240,ERZ3164314,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164314/contig.fa.gz,11658_6#3
PRJEB45963,SAMEA2204242,ERZ3164315,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164315/contig.fa.gz,11791_7#1
PRJEB45963,SAMEA2204243,ERZ3164316,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3164316/contig.fa.gz,11791_7#2
