,precision,recall,f1,accuaracy
AMP,0.755581206446924,0.7699115044247787,0.7582188074058829,0.7699115044247787
AMX,0.673362361518216,0.6743119266055045,0.673823007120744,0.6743119266055045
AMC,0.695705668308408,0.696969696969697,0.6963119067476866,0.696969696969697
TZP,0.8927666760484098,0.9242424242424242,0.9082319255547602,0.9242424242424242
CXM,0.7931124431124431,0.796969696969697,0.7948342383996302,0.796969696969697
CET,0.7778595477710523,0.7787610619469026,0.7751429700104482,0.7787610619469026
TBM,0.7055544381871814,0.7079646017699115,0.7067035834353032,0.7079646017699115
TMP,0.7876106194690266,0.7876106194690266,0.7876106194690266,0.7876106194690266
CIP,0.9625833625833625,0.9606060606060606,0.9594611074010627,0.9606060606060606
CTX,0.9054006302253147,0.8984126984126984,0.9011251461539936,0.8984126984126984
CTZ,0.913303527074019,0.9212121212121213,0.9153030303030302,0.9212121212121213
GEN,0.8565485775630703,0.8575757575757575,0.8570516769620984,0.8575757575757575
