,precision,recall,f1,accuaracy
AMP,0.7851219576883293,0.7964601769911505,0.784472882365261,0.7964601769911505
AMX,0.669091009727815,0.6788990825688074,0.6718845181178816,0.6788990825688074
AMC,0.6825815701774781,0.693939393939394,0.6853260560577634,0.693939393939394
TZP,0.8932515337423312,0.9333333333333333,0.9128526645768025,0.9333333333333333
CXM,0.7979426465232515,0.803030303030303,0.8000705278978921,0.803030303030303
CET,0.7952165348543205,0.7964601769911505,0.7952582687440714,0.7964601769911505
TBM,0.7168141592920354,0.7168141592920354,0.7168141592920354,0.7168141592920354
TMP,0.8079379865593186,0.8053097345132744,0.8056152747918158,0.8053097345132744
CIP,0.9440673602592643,0.9424242424242424,0.9404536137567813,0.9424242424242424
CTX,0.9219407008086253,0.9238095238095239,0.9226340199724231,0.9238095238095239
CTZ,0.9174809399729782,0.9242424242424242,0.9113124873773961,0.9242424242424242
GEN,0.8448343079922028,0.8545454545454545,0.8485714285714286,0.8545454545454545
